pandora_topic_id,topic_term,cnt
TP:105053,Dangerous Darren (SiriusXM Host),83
TP:144000,NBA draft,83
TP:108318,Jellybean,83
TP:70405,Pat Kirwan,83
TP:71573,Ian Schrager,83
null,Steve Rubell,83
TP:129907,Tony Smith,83
TP:226678,American Public Media,83
TP:140165,listener calls,83
TP:96060,Jeff Rickard,83
TP:32911,Mark Levin,82
TP:62057,Abby Phillip,82
TP:110219,Brett Young (singer),82
TP:126035,The E Street Band,82
TP:144521,Carolina Calix (SiriusXM host),82
TP:33769,Chris Simms,82
TP:116369,Jason Horowitz (SiriusXM Host),81
TP:103194,Absolutely Mindy (SiriusXM Host),81
TP:88339,Julie Mason,81
TP:33706,Rob Lowe,81
TP:116037,Bruce Murray (sportscaster),81
TP:38959,Cincinnati Bengals,81
TP:120681,George Nenadich,81
TP:2027596,The Real Housewives of Rhode Island (series),81
TP:44420,John Cornyn,81
TP:145815,Mary O’Connell,81
TP:116465,Julie Rose (radio host),81
TP:183050,The Bible,80
TP:83415,Los Angeles Kings,80
TP:33001,Alison Stewart,80
TP:263394,Scott Rizzuto,80
TP:146290,Pride Month,80
TP:119031,Kiki Monique,80
TP:106030,Sway Calloway,80
TP:31201,John Roberts,80
TP:41793,Chip Ingram,80
TP:103911,Dani Burger,80
TP:139477,freedom,80
TP:83296,Tennessee Titans,79
TP:109959,Tom Papa,79
TP:71216,Juli Inkster,79
TP:119057,Tom Bevan,79
TP:86633,West Ham United F.C.,79
TP:105972,City Girls,79
TP:49045,Wolfgang Van Halen,79
TP:145469,Coca-Cola 600,79
TP:125836,Caity Gyorgy,79
TP:141423,Lee Spencer,79
TP:103342,Dorinda Medley,79
TP:32571,Charles Davis,79
TP:105050,Ashley Till (SiriusXM Host),79
TP:109262,Alice Cooper,78
TP:105257,"Marisol ""El Bombón"" Vargas (SiriusXM Host)",78
TP:143317,government,78
TP:111791,The Tragically Hip,78
TP:33077,Chris Broussard,78
null,Michael Landau,78
TP:140624,Internal Revenue Service,78
TP:46308,Caitlin Clark,78
TP:162651,Kevin Wildes,78
TP:56675,Rick Kamla,77
TP:120817,Paul Heil,77
TP:28785,Joe Biden,77
TP:114434,Sam Payne (radio host),77
TP:35303,Mark Carney,77
TP:28475,IndyCar,77
null,Carol E. Lee (journalist),77
TP:103243,Chris Plank (SiriusXM Host),77
TP:124884,Kirsten Agresta Copely,77
TP:139049,primary elections,77
TP:39812,Kim Komando,77
